1757991517.112952 - Distance=15.03m, Decision=SAFE
1757993103.306335 - Distance=64.13m, Decision=SAFE
1757993104.74252 - Distance=32.27m, Decision=SAFE
1757993106.050681 - Distance=19.22m, Decision=SAFE
1757993107.40014 - Distance=26.09m, Decision=SAFE
1757993108.754456 - Distance=17.17m, Decision=SAFE
1757993110.0648801 - Distance=24.14m, Decision=SAFE
1757993111.4752011 - Distance=8.13m, Decision=STEER!
1757993112.827886 - Distance=21.28m, Decision=SAFE
1757993114.207124 - Distance=46.51m, Decision=SAFE
1757993115.661833 - Distance=2.47m, Decision=BRAKE!
1757993117.127636 - Distance=5.79m, Decision=STEER!
1757993118.593206 - Distance=4.67m, Decision=BRAKE!
1757993119.9485152 - Distance=19.22m, Decision=SAFE
1757993121.333645 - Distance=15.62m, Decision=SAFE
1757993122.807615 - Distance=7.49m, Decision=STEER!
1757993124.168525 - Distance=46.88m, Decision=SAFE
1757993125.556905 - Distance=14.19m, Decision=SAFE
1757993126.928336 - Distance=22.38m, Decision=SAFE
1757993128.261549 - Distance=21.99m, Decision=SAFE
1757993129.733706 - Distance=5.97m, Decision=STEER!
1757993131.109673 - Distance=14.74m, Decision=SAFE
1757993132.4945831 - Distance=14.92m, Decision=SAFE
1757993133.860032 - Distance=12.95m, Decision=SAFE
1757993135.34056 - Distance=9.04m, Decision=STEER!
1757993136.696063 - Distance=59.61m, Decision=SAFE
1757993138.0430999 - Distance=14.82m, Decision=SAFE
1757993139.419167 - Distance=23.80m, Decision=SAFE
1757993140.801662 - Distance=9.40m, Decision=STEER!
1757993142.299667 - Distance=7.87m, Decision=STEER!
1757993143.668185 - Distance=10.75m, Decision=SAFE
1757993144.985278 - Distance=32.56m, Decision=SAFE
1757993146.270263 - Distance=55.91m, Decision=SAFE
1757993147.585224 - Distance=23.62m, Decision=SAFE
1757993148.906641 - Distance=61.09m, Decision=SAFE
1757993150.24969 - Distance=13.79m, Decision=SAFE
1757993151.717485 - Distance=3.17m, Decision=BRAKE!
1757993153.047615 - Distance=46.64m, Decision=SAFE
1757993154.499381 - Distance=5.66m, Decision=STEER!
1757993155.821683 - Distance=11.15m, Decision=SAFE
1757993157.187186 - Distance=27.84m, Decision=SAFE
1757993158.510457 - Distance=43.18m, Decision=SAFE
1757993159.947428 - Distance=4.04m, Decision=BRAKE!
1757993161.282426 - Distance=34.08m, Decision=SAFE
1757993162.641379 - Distance=52.19m, Decision=SAFE
1757993163.989438 - Distance=38.01m, Decision=SAFE
1757993165.403014 - Distance=34.21m, Decision=SAFE
1757993166.833429 - Distance=3.73m, Decision=BRAKE!
1757993168.2307022 - Distance=5.91m, Decision=STEER!
1757993169.6112618 - Distance=68.12m, Decision=SAFE
1757993170.9666328 - Distance=15.45m, Decision=SAFE
1757993172.39188 - Distance=39.74m, Decision=SAFE
1757993173.896286 - Distance=9.50m, Decision=STEER!
1757993175.405429 - Distance=6.20m, Decision=STEER!
1757993176.718507 - Distance=53.22m, Decision=SAFE
1757993178.068466 - Distance=10.41m, Decision=SAFE
1757993179.482709 - Distance=26.15m, Decision=SAFE
1757993180.905021 - Distance=13.95m, Decision=SAFE
1757993182.30757 - Distance=12.00m, Decision=SAFE
1757993183.6926038 - Distance=41.88m, Decision=SAFE
1757993185.035221 - Distance=25.03m, Decision=SAFE
1757993186.4570482 - Distance=52.17m, Decision=SAFE
1757993187.908792 - Distance=9.14m, Decision=STEER!
1757993189.2510028 - Distance=12.61m, Decision=SAFE
1757993190.611864 - Distance=23.19m, Decision=SAFE
1757993191.977063 - Distance=25.96m, Decision=SAFE
1757993193.443667 - Distance=6.28m, Decision=STEER!
1757993194.773848 - Distance=18.03m, Decision=SAFE
1757993196.145225 - Distance=80.46m, Decision=SAFE
1757993197.593534 - Distance=20.52m, Decision=SAFE
1757993199.072439 - Distance=9.41m, Decision=STEER!
1757993200.5558631 - Distance=4.47m, Decision=BRAKE!
1757993201.9433432 - Distance=36.33m, Decision=SAFE
1757993203.5684962 - Distance=2.06m, Decision=BRAKE!
1757993205.00471 - Distance=38.01m, Decision=SAFE
1757993206.382439 - Distance=50.16m, Decision=SAFE
1757993207.7505221 - Distance=27.59m, Decision=SAFE
1757993209.1124108 - Distance=41.35m, Decision=SAFE
1757993210.4480991 - Distance=43.21m, Decision=SAFE
1757993211.836559 - Distance=43.68m, Decision=SAFE
1757993213.2293 - Distance=34.11m, Decision=SAFE
1757993214.5906692 - Distance=40.90m, Decision=SAFE
1757993216.008139 - Distance=10.43m, Decision=SAFE
1757993217.484641 - Distance=6.38m, Decision=STEER!
1757993218.850928 - Distance=28.08m, Decision=SAFE
1757993220.247353 - Distance=64.07m, Decision=SAFE
1757993221.614811 - Distance=13.34m, Decision=SAFE
1757993223.101403 - Distance=3.13m, Decision=BRAKE!
1757993224.454376 - Distance=11.92m, Decision=SAFE
1757993225.834722 - Distance=51.94m, Decision=SAFE
1757993227.37484 - Distance=7.79m, Decision=STEER!
1757993228.7679949 - Distance=16.39m, Decision=SAFE
1757993230.127435 - Distance=67.85m, Decision=SAFE
1757993231.547405 - Distance=18.87m, Decision=SAFE
1757993232.897305 - Distance=43.90m, Decision=SAFE
1757993234.293459 - Distance=45.68m, Decision=SAFE
1757993235.7845151 - Distance=11.44m, Decision=SAFE
1757993237.2028239 - Distance=26.82m, Decision=SAFE
1757993238.542165 - Distance=22.36m, Decision=SAFE
1757993239.936747 - Distance=10.85m, Decision=SAFE
1757993241.2841191 - Distance=16.53m, Decision=SAFE
1757993242.677891 - Distance=14.85m, Decision=SAFE
1757993244.1848462 - Distance=9.47m, Decision=STEER!
1757993245.61828 - Distance=24.24m, Decision=SAFE
1757993247.009919 - Distance=21.62m, Decision=SAFE
1757993248.48036 - Distance=49.73m, Decision=SAFE
1757993249.8738718 - Distance=57.82m, Decision=SAFE
1757993251.263641 - Distance=12.42m, Decision=SAFE
1757993252.743205 - Distance=3.11m, Decision=BRAKE!
1757993254.291234 - Distance=9.20m, Decision=STEER!
1757993255.842901 - Distance=3.61m, Decision=BRAKE!
1757993257.227386 - Distance=18.93m, Decision=SAFE
1757993258.744895 - Distance=7.78m, Decision=STEER!
1757993260.179803 - Distance=34.54m, Decision=SAFE
1757993261.553377 - Distance=53.90m, Decision=SAFE
1757993262.974535 - Distance=56.92m, Decision=SAFE
1757993264.5653088 - Distance=2.39m, Decision=BRAKE!
1757993265.946215 - Distance=84.52m, Decision=SAFE
1757993267.366741 - Distance=34.31m, Decision=SAFE
1757993268.767104 - Distance=12.37m, Decision=SAFE
1757993270.171603 - Distance=15.20m, Decision=SAFE
1757993271.5673652 - Distance=30.73m, Decision=SAFE
1757993273.1172569 - Distance=8.24m, Decision=STEER!
1757993274.457454 - Distance=58.69m, Decision=SAFE
1757993275.905382 - Distance=20.88m, Decision=SAFE
1757993277.377653 - Distance=13.10m, Decision=SAFE
1757993278.799403 - Distance=13.79m, Decision=SAFE
1757993280.3313448 - Distance=9.63m, Decision=STEER!
1757993281.8064342 - Distance=34.03m, Decision=SAFE
1757993283.261173 - Distance=52.41m, Decision=SAFE
1757993284.74262 - Distance=19.15m, Decision=SAFE
1757993286.32537 - Distance=6.55m, Decision=STEER!
1757993287.704538 - Distance=62.29m, Decision=SAFE
1757993289.066884 - Distance=17.45m, Decision=SAFE
1757993290.654407 - Distance=5.77m, Decision=STEER!
1757993292.1022239 - Distance=52.37m, Decision=SAFE
1757993293.4838872 - Distance=93.03m, Decision=SAFE
1757993294.95229 - Distance=43.29m, Decision=SAFE
1757993296.433632 - Distance=10.93m, Decision=SAFE
1757993297.9004009 - Distance=16.79m, Decision=SAFE
1757993299.45575 - Distance=9.05m, Decision=STEER!
1757993300.9232829 - Distance=48.17m, Decision=SAFE
1757993302.3532789 - Distance=47.40m, Decision=SAFE
1757993303.848522 - Distance=19.79m, Decision=SAFE
1757993305.332587 - Distance=40.00m, Decision=SAFE
1757993306.779998 - Distance=32.17m, Decision=SAFE
1757993308.252028 - Distance=18.19m, Decision=SAFE
1757993309.817334 - Distance=8.99m, Decision=STEER!
1757993311.291043 - Distance=33.61m, Decision=SAFE
1757993312.84902 - Distance=7.61m, Decision=STEER!
1757993314.241904 - Distance=39.75m, Decision=SAFE
1757993315.713038 - Distance=22.15m, Decision=SAFE
1757993317.178414 - Distance=28.56m, Decision=SAFE
1757993318.737997 - Distance=9.15m, Decision=STEER!
1757993320.3132968 - Distance=7.63m, Decision=STEER!
1757993321.760863 - Distance=11.32m, Decision=SAFE
1757993323.184393 - Distance=10.84m, Decision=SAFE
1757993324.63319 - Distance=17.48m, Decision=SAFE
1757993326.237579 - Distance=8.08m, Decision=STEER!
1757993327.6629272 - Distance=33.14m, Decision=SAFE
1757993329.249428 - Distance=5.11m, Decision=STEER!
1757993330.760839 - Distance=16.95m, Decision=SAFE
1757993332.182286 - Distance=46.93m, Decision=SAFE
1757993333.625995 - Distance=24.70m, Decision=SAFE
1757993335.0517561 - Distance=58.07m, Decision=SAFE
1757993336.51137 - Distance=10.55m, Decision=SAFE
1757993338.0109172 - Distance=19.17m, Decision=SAFE
1757993339.424042 - Distance=26.95m, Decision=SAFE
1757993340.987333 - Distance=9.31m, Decision=STEER!
1757993342.402616 - Distance=42.33m, Decision=SAFE
1757993343.896765 - Distance=58.48m, Decision=SAFE
1757993345.397294 - Distance=21.46m, Decision=SAFE
1757993346.821446 - Distance=19.91m, Decision=SAFE
1757993348.5033002 - Distance=5.84m, Decision=STEER!
1757993350.0794728 - Distance=9.13m, Decision=STEER!
1757993351.693803 - Distance=2.11m, Decision=BRAKE!
1757993353.175136 - Distance=22.65m, Decision=SAFE
1757993354.777678 - Distance=5.26m, Decision=STEER!
1757993356.140695 - Distance=64.28m, Decision=SAFE
1757993357.69052 - Distance=5.01m, Decision=STEER!
1757993359.164665 - Distance=54.59m, Decision=SAFE
1757993360.6208231 - Distance=26.67m, Decision=SAFE
1757993362.1119602 - Distance=13.73m, Decision=SAFE
1757993363.618647 - Distance=26.86m, Decision=SAFE
1757993365.126189 - Distance=72.58m, Decision=SAFE
1757993366.598271 - Distance=62.20m, Decision=SAFE
1757993368.045774 - Distance=59.48m, Decision=SAFE
1757993369.513508 - Distance=46.67m, Decision=SAFE
1757993370.986318 - Distance=54.22m, Decision=SAFE
1757993372.4009311 - Distance=51.17m, Decision=SAFE
1757993373.8580961 - Distance=32.91m, Decision=SAFE
1757993375.349731 - Distance=44.25m, Decision=SAFE
1757993376.88171 - Distance=48.52m, Decision=SAFE
1757993378.4369102 - Distance=2.36m, Decision=BRAKE!
1757993379.9679842 - Distance=26.37m, Decision=SAFE
1757993381.508533 - Distance=36.12m, Decision=SAFE
1757993382.999213 - Distance=29.74m, Decision=SAFE
1757993384.580769 - Distance=6.44m, Decision=STEER!
1757993386.199157 - Distance=6.73m, Decision=STEER!
1757993387.703944 - Distance=66.41m, Decision=SAFE
1757993389.220968 - Distance=2.36m, Decision=BRAKE!
1757993390.745141 - Distance=19.42m, Decision=SAFE
1757993392.2541142 - Distance=24.12m, Decision=SAFE
1757993393.789189 - Distance=25.27m, Decision=SAFE
1757993395.2717178 - Distance=54.46m, Decision=SAFE
1757993396.7975721 - Distance=19.62m, Decision=SAFE
1757993398.435775 - Distance=6.95m, Decision=STEER!
1757993399.913864 - Distance=24.36m, Decision=SAFE
1757993401.3769119 - Distance=19.02m, Decision=SAFE
1757993402.860231 - Distance=34.31m, Decision=SAFE
1757993404.318225 - Distance=52.32m, Decision=SAFE
1757993405.932645 - Distance=26.73m, Decision=SAFE
1757993407.545862 - Distance=2.80m, Decision=BRAKE!
1757993409.087455 - Distance=5.61m, Decision=STEER!
1757993410.607708 - Distance=64.70m, Decision=SAFE
1757993412.13444 - Distance=56.56m, Decision=SAFE
1757993413.654521 - Distance=41.69m, Decision=SAFE
1757993415.315121 - Distance=9.15m, Decision=STEER!
1757993416.813928 - Distance=22.84m, Decision=SAFE
1757993418.362241 - Distance=39.58m, Decision=SAFE
1757993419.822384 - Distance=10.32m, Decision=SAFE
1757993421.383459 - Distance=2.18m, Decision=BRAKE!
1757993422.8994281 - Distance=57.08m, Decision=SAFE
1757993424.397671 - Distance=31.48m, Decision=SAFE
1757993425.936626 - Distance=16.31m, Decision=SAFE
1757993427.4505222 - Distance=84.03m, Decision=SAFE
1757993428.985536 - Distance=75.63m, Decision=SAFE
1757993430.545299 - Distance=2.23m, Decision=BRAKE!
1757993432.094132 - Distance=40.12m, Decision=SAFE
1757993433.6852102 - Distance=23.50m, Decision=SAFE
1757993435.237555 - Distance=19.15m, Decision=SAFE
1757993436.751628 - Distance=14.33m, Decision=SAFE
1757993438.286703 - Distance=10.55m, Decision=SAFE
1757993439.845511 - Distance=27.64m, Decision=SAFE
1757993441.456278 - Distance=2.25m, Decision=BRAKE!
1757993443.005075 - Distance=28.29m, Decision=SAFE
1757993444.485415 - Distance=11.74m, Decision=SAFE
1757993445.960159 - Distance=25.12m, Decision=SAFE
1757993447.5395432 - Distance=20.64m, Decision=SAFE
1757993449.088477 - Distance=28.12m, Decision=SAFE
1757993450.7449138 - Distance=3.46m, Decision=BRAKE!
1757993452.249824 - Distance=8.20m, Decision=STEER!
1757993453.6704 - Distance=15.47m, Decision=SAFE
1757993455.214061 - Distance=10.95m, Decision=SAFE
1757993456.7377439 - Distance=72.88m, Decision=SAFE
1757993458.239569 - Distance=31.31m, Decision=SAFE
1757993459.714803 - Distance=10.93m, Decision=SAFE
1757993461.12721 - Distance=20.00m, Decision=SAFE
1757993462.5625741 - Distance=80.89m, Decision=SAFE
1757993464.1192582 - Distance=45.21m, Decision=SAFE
1757993465.530581 - Distance=24.18m, Decision=SAFE
1757993466.978684 - Distance=36.86m, Decision=SAFE
1757993468.52139 - Distance=10.27m, Decision=SAFE
1757993470.0636811 - Distance=26.08m, Decision=SAFE
1757993471.639801 - Distance=55.60m, Decision=SAFE
1757993473.318908 - Distance=8.73m, Decision=STEER!
1757993474.983412 - Distance=2.15m, Decision=BRAKE!
1757993476.46692 - Distance=30.42m, Decision=SAFE
1757993477.986968 - Distance=5.39m, Decision=STEER!
1757993479.539213 - Distance=3.94m, Decision=BRAKE!
1757993481.1057339 - Distance=22.68m, Decision=SAFE
1757993482.5837529 - Distance=75.24m, Decision=SAFE
1757993484.048079 - Distance=17.66m, Decision=SAFE
1757993485.7456708 - Distance=5.32m, Decision=STEER!
1757993487.4306052 - Distance=8.65m, Decision=STEER!
1757993489.000891 - Distance=9.33m, Decision=STEER!
1757993490.661864 - Distance=3.34m, Decision=BRAKE!
1757993492.2771149 - Distance=45.29m, Decision=SAFE
1757993493.87056 - Distance=36.36m, Decision=SAFE
1757993495.3729768 - Distance=76.02m, Decision=SAFE
1757993496.8729851 - Distance=44.83m, Decision=SAFE
1757993498.42089 - Distance=83.56m, Decision=SAFE
1757993499.9159539 - Distance=21.33m, Decision=SAFE
1757993501.4394 - Distance=36.76m, Decision=SAFE
1757993502.984521 - Distance=10.38m, Decision=SAFE
1757993504.66869 - Distance=27.11m, Decision=SAFE
1757993506.144094 - Distance=62.44m, Decision=SAFE
1757993507.763785 - Distance=18.46m, Decision=SAFE
1757993509.4200692 - Distance=4.05m, Decision=BRAKE!
1757993511.111485 - Distance=2.98m, Decision=BRAKE!
1757993512.710845 - Distance=5.45m, Decision=STEER!
1757993514.3339672 - Distance=7.97m, Decision=STEER!
1757993515.929365 - Distance=30.87m, Decision=SAFE
1757993517.621964 - Distance=9.47m, Decision=STEER!
1757993519.107857 - Distance=40.23m, Decision=SAFE
1757993520.697997 - Distance=4.83m, Decision=BRAKE!
1757993522.27457 - Distance=3.84m, Decision=BRAKE!
1757993523.846411 - Distance=36.07m, Decision=SAFE
1757993525.58664 - Distance=5.97m, Decision=STEER!
1757993527.301693 - Distance=11.20m, Decision=SAFE
1757993528.94097 - Distance=33.48m, Decision=SAFE
1757993530.576116 - Distance=19.78m, Decision=SAFE
1757993532.0369081 - Distance=43.40m, Decision=SAFE
1757993533.7444532 - Distance=3.33m, Decision=BRAKE!
1757993535.406534 - Distance=4.24m, Decision=BRAKE!
1757993537.081435 - Distance=4.30m, Decision=BRAKE!
1757993538.560652 - Distance=25.89m, Decision=SAFE
1757993540.153547 - Distance=43.41m, Decision=SAFE
1757993541.707828 - Distance=69.53m, Decision=SAFE
1757993543.2497852 - Distance=21.30m, Decision=SAFE
1757993544.809257 - Distance=15.00m, Decision=SAFE
1757993546.3612008 - Distance=30.49m, Decision=SAFE
1757993547.998477 - Distance=27.27m, Decision=SAFE
1757993549.6896021 - Distance=28.93m, Decision=SAFE
1757993551.309864 - Distance=27.46m, Decision=SAFE
1757993552.907883 - Distance=15.58m, Decision=SAFE
1757993554.34775 - Distance=38.52m, Decision=SAFE
1757993556.092559 - Distance=7.94m, Decision=STEER!
1757993557.729577 - Distance=56.09m, Decision=SAFE
1757993559.487324 - Distance=2.14m, Decision=BRAKE!
1757993561.1974778 - Distance=3.96m, Decision=BRAKE!
1757993562.849607 - Distance=40.64m, Decision=SAFE
1757993564.495771 - Distance=22.61m, Decision=SAFE
1757993566.21568 - Distance=2.65m, Decision=BRAKE!
1757993567.8425012 - Distance=29.80m, Decision=SAFE
1757993569.6043258 - Distance=4.99m, Decision=BRAKE!
1757993571.339405 - Distance=10.87m, Decision=SAFE
1757993572.972877 - Distance=29.36m, Decision=SAFE
1757993574.711426 - Distance=4.73m, Decision=BRAKE!
1757993576.358572 - Distance=48.75m, Decision=SAFE
1757993578.009147 - Distance=22.77m, Decision=SAFE
1757993579.777767 - Distance=3.97m, Decision=BRAKE!
1757993581.414251 - Distance=8.29m, Decision=STEER!
1757993582.5732071 - Distance=30.53m, Decision=SAFE
1757993583.728859 - Distance=11.31m, Decision=SAFE
1757993584.977195 - Distance=5.31m, Decision=STEER!
1757993586.1337862 - Distance=34.00m, Decision=SAFE
1757993587.281315 - Distance=65.00m, Decision=SAFE
1757993588.414878 - Distance=28.59m, Decision=SAFE
1757993589.561223 - Distance=19.59m, Decision=SAFE
1757993590.6974 - Distance=33.74m, Decision=SAFE
1757993591.847063 - Distance=29.12m, Decision=SAFE
1757993592.986455 - Distance=28.94m, Decision=SAFE
